Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency
1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0
3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0
3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0
1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0
2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0
4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0
2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0
2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0
2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0
3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0
3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0
3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0
3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0
4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0
4.6,275.0,112.2,75.0,201.0,3.341,18.5,22.0
4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0
3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0
5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0
2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0
3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0
3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0
3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0
3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0
5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0
1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0
1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0
3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0
2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0
2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0
2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0
2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0
3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0
3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0
2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0
2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0
2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0
2.7,202.0,113.0,74.7,203.7,3.489,17.0,24.0
8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0
5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0
3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0
3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0
2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0
5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0
2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0
2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0
3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0
2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0
3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0
2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0
4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0
4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0
3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0
4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0
2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0
4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0
1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0
2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0
2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0
3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0
3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0
1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0
2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0
2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0
3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0
3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0
2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0
4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0
4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0
3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0
3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0
4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0
4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0
4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0
3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0
4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0
4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0
5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0
1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0
2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0
2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0
3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0
3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0
3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0
3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0
2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0
2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0
3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0
4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0
4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0
3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0
2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0
3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0
4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0
5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0
2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0
2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0
3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0
5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0
3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0
1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0
2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0
3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0
3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0
3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0
3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0
3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0
3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0
3.5,215.0,109.0,73.6,195.9,3.455,18.0,24.0
2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0
4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0
4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0
3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0
2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0
2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0
2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0
3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0
2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0
3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0
3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0
3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0
3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0
3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0
2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0
3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0
3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0
2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0
2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0
1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0
1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0
1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0
2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0
2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0
2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0
2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0
1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0
2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0
3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0
1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0
2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0
3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0
2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0
2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0
